,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
ADK,IMesh,PoW,25000000.0,25000000,-0.1444183984606684,-2.3218761565332007,0.39098182791662534,Aidos Kuneen,3
BSX,NIST5,PoW/PoS,13787854.6277781,50000000,-0.35253794385582,1.5270641022491207,-0.4483554295707563,Bitspace,0
BRIA,Scrypt,PoW/PoS,845637.81347436,3000000,-0.3401789401916284,1.1128107121898325,-0.45653746164919085,Briacoin,0
IC,Scrypt,PoW/PoS,1182153.5,5000000,-0.3401606544154012,1.1128099302883048,-0.4565375370064374,Ignition,0
BTL,Equihash,PoW,71355477.0,70000000,-0.12841860100169628,-2.055651841357289,0.23402363835662046,Bitrolium,3
MEDIC,Scrypt,PoS,267297676.3125,500000000,-0.2916776466437735,0.8797096208152049,-0.23922436490407123,MedicCoin,0
ALPS,Lyra2Z,PoW,27340501.6514783,300000000,-0.15422609686900116,-2.2091862142364107,0.34505112314221403,Alpenschillling,3
BITG,Green Protocol,PoS,9803691.3618195,21000000,-0.3558549300745384,1.4120935292928667,-0.0628391121516051,Bitcoin Green,0
DEV,PoS,PoS,21876586.8530324,88000000,-0.35712532884038145,1.5578038379667145,-0.18479068999322604,Deviant Coin,0
ABJ,Scrypt,PoW/PoS,9880502.37178894,30000000,-0.33987718716458065,1.1128020952254774,-0.4565386606234067,Abjcoin,0
SEM,Semux BFT consensus,DPoS,1231147.0,100000000,3.918670495417945,1.6002602084411763,0.2751809362440941,Semux,0
FTO,X11,PoW,31801461.1867843,100000000,-0.21812536797451695,-0.9826306788160712,-0.011181176865867535,FuturoCoin,3
CARE,Quark,PoW/PoS,139739596.506702,200000000,-0.3939397476707847,1.6860690761102917,-0.46316467083082824,Carebit,0
NZL,PoS,PoS,11075254.0929996,80000000,-0.35731402375602833,1.5578028846761307,-0.18479000619556077,Zealium,0
XMC,CryptoNight,PoW,16016864.0,18400000,0.30147231526615414,-2.320626843540569,0.3338764362417414,Monero Classic,3
PROTON,X16R,PoS,4403800.0,45000000,-0.31714753229889947,0.5976524333880381,0.004868803154037663,Proton,0
